town,year,traffic
BOSTON,2004,24925.86607
BOSTON,2005,63312.13793
BOSTON,2006,25978.57143
BOSTON,2007,89666.66667
BOSTON,2008,52443
BOSTON,2009,1021.08377
CAMBRIDGE,2004,37,733
CAMBRIDGE,2005,22254.54545
CAMBRIDGE,2006,330
CAMBRIDGE,2008,32456.25
CAMBRIDGE,2009,412.7179487
EAST BOSTON,2004,25225
EAST BOSTON,2005,26600
EAST BOSTON,2006,14428
EAST BOSTON,2007,13483.33333
EAST BOSTON,2009,8426
