Year,TV,Radio,Newspaper,Any Digital News
1991,68,54,56,,
1994,72,47,49,,
1996,59,44,50,,
1998,59,49,48,,
2000,56,43,47,,
2002,54,41,41,,
2004,60,40,42,24,
2006,57,36,40,23,
2008,57,35,34,29,
2010,58,34,31,44,
2012,55,33,29,50,
